AttributeDescription,AttributeId,CalendarYear,CommodityCode,CommodityDescription,CountryCode,CountryName,MarketYear,Month,UnitDescription,UnitId,Value
Weights,210,,0113000,"Meat, Swine                   ",HO,Honduras                      ,2019,10,(1000 MT CWE)       ,7,0.0
Production Change,204,,0113000,"Meat, Swine                   ",HO,Honduras                      ,2019,10,(PERCENT)           ,23,0.0
Import Change,201,,0113000,"Meat, Swine                   ",HO,Honduras                      ,2019,10,(PERCENT)           ,23,2.0
Export Change,202,,0113000,"Meat, Swine                   ",HO,Honduras                      ,2019,10,(PERCENT)           ,23,0.0
Consumption Change,203,,0113000,"Meat, Swine                   ",HO,Honduras                      ,2019,10,(PERCENT)           ,23,2.0
Imports Percent Consumption,214,,0113000,"Meat, Swine                   ",HO,Honduras                      ,2019,10,(PERCENT)           ,23,81.0
Exports Percent Production,215,,0113000,"Meat, Swine                   ",HO,Honduras                      ,2019,10,(PERCENT)           ,23,0.0
Population,211,,0113000,"Meat, Swine                   ",HO,Honduras                      ,2019,10,(PEOPLE)            ,41,9325005.0
Per Capita Consumption,212,,0113000,"Meat, Swine                   ",HO,Honduras                      ,2019,10,(KG)                ,14,5.7
Slaughter (Reference),116,,0113000,"Meat, Swine                   ",IV,Cote d'Ivoire                 ,2019,10,(1000 HEAD)         ,5,0.0
Beginning Stocks,20,,0113000,"Meat, Swine                   ",IV,Cote d'Ivoire                 ,2019,10,(1000 MT CWE)       ,7,0.0
Production,28,,0113000,"Meat, Swine                   ",IV,Cote d'Ivoire                 ,2019,10,(1000 MT CWE)       ,7,9.0
Total Imports,57,,0113000,"Meat, Swine                   ",IV,Cote d'Ivoire                 ,2019,10,(1000 MT CWE)       ,7,14.0
Total Supply,86,,0113000,"Meat, Swine                   ",IV,Cote d'Ivoire                 ,2019,10,(1000 MT CWE)       ,7,23.0
Total Exports,88,,0113000,"Meat, Swine                   ",IV,Cote d'Ivoire                 ,2019,10,(1000 MT CWE)       ,7,0.0
Human Dom. Consumption,139,,0113000,"Meat, Swine                   ",IV,Cote d'Ivoire                 ,2019,10,(1000 MT CWE)       ,7,23.0
"Other Use, Losses",152,,0113000,"Meat, Swine                   ",IV,Cote d'Ivoire                 ,2019,10,(1000 MT CWE)       ,7,0.0
Total Dom. Consumption,125,,0113000,"Meat, Swine                   ",IV,Cote d'Ivoire                 ,2019,10,(1000 MT CWE)       ,7,23.0
Ending Stocks,176,,0113000,"Meat, Swine                   ",IV,Cote d'Ivoire                 ,2019,10,(1000 MT CWE)       ,7,0.0
Total Distribution,178,,0113000,"Meat, Swine                   ",IV,Cote d'Ivoire                 ,2019,10,(1000 MT CWE)       ,7,23.0
Balance,198,,0113000,"Meat, Swine                   ",IV,Cote d'Ivoire                 ,2019,10,(1000 MT CWE)       ,7,0.0
Inventory Balance,199,,0113000,"Meat, Swine                   ",IV,Cote d'Ivoire                 ,2019,10,(1000 MT CWE)       ,7,0.0
Weights,210,,0113000,"Meat, Swine                   ",IV,Cote d'Ivoire                 ,2019,10,(1000 MT CWE)       ,7,0.0
Production Change,204,,0113000,"Meat, Swine                   ",IV,Cote d'Ivoire                 ,2019,10,(PERCENT)           ,23,13.0
Import Change,201,,0113000,"Meat, Swine                   ",IV,Cote d'Ivoire                 ,2019,10,(PERCENT)           ,23,-22.0
Export Change,202,,0113000,"Meat, Swine                   ",IV,Cote d'Ivoire                 ,2019,10,(PERCENT)           ,23,0.0
Consumption Change,203,,0113000,"Meat, Swine                   ",IV,Cote d'Ivoire                 ,2019,10,(PERCENT)           ,23,-12.0
Imports Percent Consumption,214,,0113000,"Meat, Swine                   ",IV,Cote d'Ivoire                 ,2019,10,(PERCENT)           ,23,61.0
Exports Percent Production,215,,0113000,"Meat, Swine                   ",IV,Cote d'Ivoire                 ,2019,10,(PERCENT)           ,23,0.0
Population,211,,0113000,"Meat, Swine                   ",IV,Cote d'Ivoire                 ,2019,10,(PEOPLE)            ,41,25067462.0
Per Capita Consumption,212,,0113000,"Meat, Swine                   ",IV,Cote d'Ivoire                 ,2019,10,(KG)                ,14,0.9
Slaughter (Reference),116,,0113000,"Meat, Swine                   ",JA,Japan                         ,2019,10,(1000 HEAD)         ,5,16425.0
Beginning Stocks,20,,0113000,"Meat, Swine                   ",JA,Japan                         ,2019,10,(1000 MT CWE)       ,7,208.0
Production,28,,0113000,"Meat, Swine                   ",JA,Japan                         ,2019,10,(1000 MT CWE)       ,7,1295.0
Total Imports,57,,0113000,"Meat, Swine                   ",JA,Japan                         ,2019,10,(1000 MT CWE)       ,7,1510.0
Total Supply,86,,0113000,"Meat, Swine                   ",JA,Japan                         ,2019,10,(1000 MT CWE)       ,7,3013.0
Total Exports,88,,0113000,"Meat, Swine                   ",JA,Japan                         ,2019,10,(1000 MT CWE)       ,7,5.0
Human Dom. Consumption,139,,0113000,"Meat, Swine                   ",JA,Japan                         ,2019,10,(1000 MT CWE)       ,7,2790.0
"Other Use, Losses",152,,0113000,"Meat, Swine                   ",JA,Japan                         ,2019,10,(1000 MT CWE)       ,7,0.0
Total Dom. Consumption,125,,0113000,"Meat, Swine                   ",JA,Japan                         ,2019,10,(1000 MT CWE)       ,7,2790.0
Ending Stocks,176,,0113000,"Meat, Swine                   ",JA,Japan                         ,2019,10,(1000 MT CWE)       ,7,218.0
Total Distribution,178,,0113000,"Meat, Swine                   ",JA,Japan                         ,2019,10,(1000 MT CWE)       ,7,3013.0
Balance,198,,0113000,"Meat, Swine                   ",JA,Japan                         ,2019,10,(1000 MT CWE)       ,7,0.0
Inventory Balance,199,,0113000,"Meat, Swine                   ",JA,Japan                         ,2019,10,(1000 MT CWE)       ,7,10.0
Weights,210,,0113000,"Meat, Swine                   ",JA,Japan                         ,2019,10,(1000 MT CWE)       ,7,78.8
Production Change,204,,0113000,"Meat, Swine                   ",JA,Japan                         ,2019,10,(PERCENT)           ,23,1.0
Import Change,201,,0113000,"Meat, Swine                   ",JA,Japan                         ,2019,10,(PERCENT)           ,23,2.0
Export Change,202,,0113000,"Meat, Swine                   ",JA,Japan                         ,2019,10,(PERCENT)           ,23,25.0
Consumption Change,203,,0113000,"Meat, Swine                   ",JA,Japan                         ,2019,10,(PERCENT)           ,23,1.0
Imports Percent Consumption,214,,0113000,"Meat, Swine                   ",JA,Japan                         ,2019,10,(PERCENT)           ,23,54.0
Exports Percent Production,215,,0113000,"Meat, Swine                   ",JA,Japan                         ,2019,10,(PERCENT)           ,23,0.0
Population,211,,0113000,"Meat, Swine                   ",JA,Japan                         ,2019,10,(PEOPLE)            ,41,125853035.0
Per Capita Consumption,212,,0113000,"Meat, Swine                   ",JA,Japan                         ,2019,10,(KG)                ,14,22.2
Slaughter (Reference),116,,0113000,"Meat, Swine                   ",KS,"Korea, South                  ",2019,10,(1000 HEAD)         ,5,17800.0
Beginning Stocks,20,,0113000,"Meat, Swine                   ",KS,"Korea, South                  ",2019,10,(1000 MT CWE)       ,7,180.0
Production,28,,0113000,"Meat, Swine                   ",KS,"Korea, South                  ",2019,10,(1000 MT CWE)       ,7,1365.0
Total Imports,57,,0113000,"Meat, Swine                   ",KS,"Korea, South                  ",2019,10,(1000 MT CWE)       ,7,700.0
Total Supply,86,,0113000,"Meat, Swine                   ",KS,"Korea, South                  ",2019,10,(1000 MT CWE)       ,7,2245.0
Total Exports,88,,0113000,"Meat, Swine                   ",KS,"Korea, South                  ",2019,10,(1000 MT CWE)       ,7,1.0
Human Dom. Consumption,139,,0113000,"Meat, Swine                   ",KS,"Korea, South                  ",2019,10,(1000 MT CWE)       ,7,2044.0
"Other Use, Losses",152,,0113000,"Meat, Swine                   ",KS,"Korea, South                  ",2019,10,(1000 MT CWE)       ,7,0.0
Total Dom. Consumption,125,,0113000,"Meat, Swine                   ",KS,"Korea, South                  ",2019,10,(1000 MT CWE)       ,7,2044.0
Ending Stocks,176,,0113000,"Meat, Swine                   ",KS,"Korea, South                  ",2019,10,(1000 MT CWE)       ,7,200.0
Total Distribution,178,,0113000,"Meat, Swine                   ",KS,"Korea, South                  ",2019,10,(1000 MT CWE)       ,7,2245.0
Balance,198,,0113000,"Meat, Swine                   ",KS,"Korea, South                  ",2019,10,(1000 MT CWE)       ,7,0.0
Inventory Balance,199,,0113000,"Meat, Swine                   ",KS,"Korea, South                  ",2019,10,(1000 MT CWE)       ,7,20.0
Weights,210,,0113000,"Meat, Swine                   ",KS,"Korea, South                  ",2019,10,(1000 MT CWE)       ,7,76.7
Production Change,204,,0113000,"Meat, Swine                   ",KS,"Korea, South                  ",2019,10,(PERCENT)           ,23,3.0
Import Change,201,,0113000,"Meat, Swine                   ",KS,"Korea, South                  ",2019,10,(PERCENT)           ,23,-7.0
Export Change,202,,0113000,"Meat, Swine                   ",KS,"Korea, South                  ",2019,10,(PERCENT)           ,23,0.0
Consumption Change,203,,0113000,"Meat, Swine                   ",KS,"Korea, South                  ",2019,10,(PERCENT)           ,23,2.0
Imports Percent Consumption,214,,0113000,"Meat, Swine                   ",KS,"Korea, South                  ",2019,10,(PERCENT)           ,23,34.0
Exports Percent Production,215,,0113000,"Meat, Swine                   ",KS,"Korea, South                  ",2019,10,(PERCENT)           ,23,0.0
Population,211,,0113000,"Meat, Swine                   ",KS,"Korea, South                  ",2019,10,(PEOPLE)            ,41,51635813.0
Per Capita Consumption,212,,0113000,"Meat, Swine                   ",KS,"Korea, South                  ",2019,10,(KG)                ,14,39.6
Slaughter (Reference),116,,0113000,"Meat, Swine                   ",KZ,Kazakhstan                    ,2019,04,(1000 HEAD)         ,5,0.0
Beginning Stocks,20,,0113000,"Meat, Swine                   ",KZ,Kazakhstan                    ,2019,04,(1000 MT CWE)       ,7,0.0
Production,28,,0113000,"Meat, Swine                   ",KZ,Kazakhstan                    ,2019,04,(1000 MT CWE)       ,7,84.0
Total Imports,57,,0113000,"Meat, Swine                   ",KZ,Kazakhstan                    ,2019,04,(1000 MT CWE)       ,7,2.0
Total Supply,86,,0113000,"Meat, Swine                   ",KZ,Kazakhstan                    ,2019,04,(1000 MT CWE)       ,7,86.0
Total Exports,88,,0113000,"Meat, Swine                   ",KZ,Kazakhstan                    ,2019,04,(1000 MT CWE)       ,7,0.0
Human Dom. Consumption,139,,0113000,"Meat, Swine                   ",KZ,Kazakhstan                    ,2019,04,(1000 MT CWE)       ,7,86.0
"Other Use, Losses",152,,0113000,"Meat, Swine                   ",KZ,Kazakhstan                    ,2019,04,(1000 MT CWE)       ,7,0.0
Total Dom. Consumption,125,,0113000,"Meat, Swine                   ",KZ,Kazakhstan                    ,2019,04,(1000 MT CWE)       ,7,86.0
Ending Stocks,176,,0113000,"Meat, Swine                   ",KZ,Kazakhstan                    ,2019,04,(1000 MT CWE)       ,7,0.0
Total Distribution,178,,0113000,"Meat, Swine                   ",KZ,Kazakhstan                    ,2019,04,(1000 MT CWE)       ,7,86.0
CY Imp. from U.S.,83,,0113000,"Meat, Swine                   ",KZ,Kazakhstan                    ,2019,04,(1000 MT CWE)       ,7,0.0
CY. Exp. to U.S.,87,,0113000,"Meat, Swine                   ",KZ,Kazakhstan                    ,2019,04,(1000 MT CWE)       ,7,0.0
Balance,198,,0113000,"Meat, Swine                   ",KZ,Kazakhstan                    ,2019,04,(1000 MT CWE)       ,7,0.0
Inventory Balance,199,,0113000,"Meat, Swine                   ",KZ,Kazakhstan                    ,2019,04,(1000 MT CWE)       ,7,0.0
Weights,210,,0113000,"Meat, Swine                   ",KZ,Kazakhstan                    ,2019,04,(1000 MT CWE)       ,7,0.0
Production Change,204,,0113000,"Meat, Swine                   ",KZ,Kazakhstan                    ,2019,04,(PERCENT)           ,23,-2.0
Import Change,201,,0113000,"Meat, Swine                   ",KZ,Kazakhstan                    ,2019,04,(PERCENT)           ,23,0.0
Export Change,202,,0113000,"Meat, Swine                   ",KZ,Kazakhstan                    ,2019,04,(PERCENT)           ,23,0.0
Consumption Change,203,,0113000,"Meat, Swine                   ",KZ,Kazakhstan                    ,2019,04,(PERCENT)           ,23,-2.0
Imports Percent Consumption,214,,0113000,"Meat, Swine                   ",KZ,Kazakhstan                    ,2019,04,(PERCENT)           ,23,2.0
Exports Percent Production,215,,0113000,"Meat, Swine                   ",KZ,Kazakhstan                    ,2019,04,(PERCENT)           ,23,0.0
Population,211,,0113000,"Meat, Swine                   ",KZ,Kazakhstan                    ,2019,04,(PEOPLE)            ,41,18923073.0
Per Capita Consumption,212,,0113000,"Meat, Swine                   ",KZ,Kazakhstan                    ,2019,04,(KG)                ,14,4.5
Slaughter (Reference),116,,0113000,"Meat, Swine                   ",MC,Macau                         ,2019,10,(1000 HEAD)         ,5,0.0
Beginning Stocks,20,,0113000,"Meat, Swine                   ",MC,Macau                         ,2019,10,(1000 MT CWE)       ,7,0.0
Production,28,,0113000,"Meat, Swine                   ",MC,Macau                         ,2019,10,(1000 MT CWE)       ,7,7.0
Total Imports,57,,0113000,"Meat, Swine                   ",MC,Macau                         ,2019,10,(1000 MT CWE)       ,7,35.0
Total Supply,86,,0113000,"Meat, Swine                   ",MC,Macau                         ,2019,10,(1000 MT CWE)       ,7,42.0
Total Exports,88,,0113000,"Meat, Swine                   ",MC,Macau                         ,2019,10,(1000 MT CWE)       ,7,0.0
Human Dom. Consumption,139,,0113000,"Meat, Swine                   ",MC,Macau                         ,2019,10,(1000 MT CWE)       ,7,42.0
"Other Use, Losses",152,,0113000,"Meat, Swine                   ",MC,Macau                         ,2019,10,(1000 MT CWE)       ,7,0.0
Total Dom. Consumption,125,,0113000,"Meat, Swine                   ",MC,Macau                         ,2019,10,(1000 MT CWE)       ,7,42.0
Ending Stocks,176,,0113000,"Meat, Swine                   ",MC,Macau                         ,2019,10,(1000 MT CWE)       ,7,0.0
Total Distribution,178,,0113000,"Meat, Swine                   ",MC,Macau                         ,2019,10,(1000 MT CWE)       ,7,42.0
Balance,198,,0113000,"Meat, Swine                   ",MC,Macau                         ,2019,10,(1000 MT CWE)       ,7,0.0
Inventory Balance,199,,0113000,"Meat, Swine                   ",MC,Macau                         ,2019,10,(1000 MT CWE)       ,7,0.0
Weights,210,,0113000,"Meat, Swine                   ",MC,Macau                         ,2019,10,(1000 MT CWE)       ,7,0.0
Production Change,204,,0113000,"Meat, Swine                   ",MC,Macau                         ,2019,10,(PERCENT)           ,23,0.0
Import Change,201,,0113000,"Meat, Swine                   ",MC,Macau                         ,2019,10,(PERCENT)           ,23,6.0
Export Change,202,,0113000,"Meat, Swine                   ",MC,Macau                         ,2019,10,(PERCENT)           ,23,0.0
Consumption Change,203,,0113000,"Meat, Swine                   ",MC,Macau                         ,2019,10,(PERCENT)           ,23,5.0
Imports Percent Consumption,214,,0113000,"Meat, Swine                   ",MC,Macau                         ,2019,10,(PERCENT)           ,23,83.0
Exports Percent Production,215,,0113000,"Meat, Swine                   ",MC,Macau                         ,2019,10,(PERCENT)           ,23,0.0
Population,211,,0113000,"Meat, Swine                   ",MC,Macau                         ,2019,10,(PEOPLE)            ,41,610510.0
Per Capita Consumption,212,,0113000,"Meat, Swine                   ",MC,Macau                         ,2019,10,(KG)                ,14,68.8
Slaughter (Reference),116,,0113000,"Meat, Swine                   ",MJ,Montenegro                    ,2019,10,(1000 HEAD)         ,5,0.0
Beginning Stocks,20,,0113000,"Meat, Swine                   ",MJ,Montenegro                    ,2019,10,(1000 MT CWE)       ,7,0.0
Production,28,,0113000,"Meat, Swine                   ",MJ,Montenegro                    ,2019,10,(1000 MT CWE)       ,7,2.0
Total Imports,57,,0113000,"Meat, Swine                   ",MJ,Montenegro                    ,2019,10,(1000 MT CWE)       ,7,30.0
Total Supply,86,,0113000,"Meat, Swine                   ",MJ,Montenegro                    ,2019,10,(1000 MT CWE)       ,7,32.0
Total Exports,88,,0113000,"Meat, Swine                   ",MJ,Montenegro                    ,2019,10,(1000 MT CWE)       ,7,2.0
Human Dom. Consumption,139,,0113000,"Meat, Swine                   ",MJ,Montenegro                    ,2019,10,(1000 MT CWE)       ,7,30.0
"Other Use, Losses",152,,0113000,"Meat, Swine                   ",MJ,Montenegro                    ,2019,10,(1000 MT CWE)       ,7,0.0
Total Dom. Consumption,125,,0113000,"Meat, Swine                   ",MJ,Montenegro                    ,2019,10,(1000 MT CWE)       ,7,30.0
Ending Stocks,176,,0113000,"Meat, Swine                   ",MJ,Montenegro                    ,2019,10,(1000 MT CWE)       ,7,0.0
Total Distribution,178,,0113000,"Meat, Swine                   ",MJ,Montenegro                    ,2019,10,(1000 MT CWE)       ,7,32.0
Balance,198,,0113000,"Meat, Swine                   ",MJ,Montenegro                    ,2019,10,(1000 MT CWE)       ,7,0.0
Inventory Balance,199,,0113000,"Meat, Swine                   ",MJ,Montenegro                    ,2019,10,(1000 MT CWE)       ,7,0.0
Weights,210,,0113000,"Meat, Swine                   ",MJ,Montenegro                    ,2019,10,(1000 MT CWE)       ,7,0.0
Production Change,204,,0113000,"Meat, Swine                   ",MJ,Montenegro                    ,2019,10,(PERCENT)           ,23,0.0
Import Change,201,,0113000,"Meat, Swine                   ",MJ,Montenegro                    ,2019,10,(PERCENT)           ,23,-6.0
Export Change,202,,0113000,"Meat, Swine                   ",MJ,Montenegro                    ,2019,10,(PERCENT)           ,23,0.0
Consumption Change,203,,0113000,"Meat, Swine                   ",MJ,Montenegro                    ,2019,10,(PERCENT)           ,23,-6.0
Imports Percent Consumption,214,,0113000,"Meat, Swine                   ",MJ,Montenegro                    ,2019,10,(PERCENT)           ,23,100.0
Exports Percent Production,215,,0113000,"Meat, Swine                   ",MJ,Montenegro                    ,2019,10,(PERCENT)           ,23,100.0
Population,211,,0113000,"Meat, Swine                   ",MJ,Montenegro                    ,2019,10,(PEOPLE)            ,41,612107.0
Per Capita Consumption,212,,0113000,"Meat, Swine                   ",MJ,Montenegro                    ,2019,10,(KG)                ,14,49.0
Slaughter (Reference),116,,0113000,"Meat, Swine                   ",MK,Macedonia                     ,2019,10,(1000 HEAD)         ,5,0.0
Beginning Stocks,20,,0113000,"Meat, Swine                   ",MK,Macedonia                     ,2019,10,(1000 MT CWE)       ,7,0.0
Production,28,,0113000,"Meat, Swine                   ",MK,Macedonia                     ,2019,10,(1000 MT CWE)       ,7,14.0
Total Imports,57,,0113000,"Meat, Swine                   ",MK,Macedonia                     ,2019,10,(1000 MT CWE)       ,7,17.0
Total Supply,86,,0113000,"Meat, Swine                   ",MK,Macedonia                     ,2019,10,(1000 MT CWE)       ,7,31.0
Total Exports,88,,0113000,"Meat, Swine                   ",MK,Macedonia                     ,2019,10,(1000 MT CWE)       ,7,1.0
Human Dom. Consumption,139,,0113000,"Meat, Swine                   ",MK,Macedonia                     ,2019,10,(1000 MT CWE)       ,7,30.0
"Other Use, Losses",152,,0113000,"Meat, Swine                   ",MK,Macedonia                     ,2019,10,(1000 MT CWE)       ,7,0.0
Total Dom. Consumption,125,,0113000,"Meat, Swine                   ",MK,Macedonia                     ,2019,10,(1000 MT CWE)       ,7,30.0
Ending Stocks,176,,0113000,"Meat, Swine                   ",MK,Macedonia                     ,2019,10,(1000 MT CWE)       ,7,0.0
Total Distribution,178,,0113000,"Meat, Swine                   ",MK,Macedonia                     ,2019,10,(1000 MT CWE)       ,7,31.0
Balance,198,,0113000,"Meat, Swine                   ",MK,Macedonia                     ,2019,10,(1000 MT CWE)       ,7,0.0
Inventory Balance,199,,0113000,"Meat, Swine                   ",MK,Macedonia                     ,2019,10,(1000 MT CWE)       ,7,0.0
Weights,210,,0113000,"Meat, Swine                   ",MK,Macedonia                     ,2019,10,(1000 MT CWE)       ,7,0.0
Production Change,204,,0113000,"Meat, Swine                   ",MK,Macedonia                     ,2019,10,(PERCENT)           ,23,8.0
Import Change,201,,0113000,"Meat, Swine                   ",MK,Macedonia                     ,2019,10,(PERCENT)           ,23,-11.0
Export Change,202,,0113000,"Meat, Swine                   ",MK,Macedonia                     ,2019,10,(PERCENT)           ,23,0.0
Consumption Change,203,,0113000,"Meat, Swine                   ",MK,Macedonia                     ,2019,10,(PERCENT)           ,23,-3.0
Imports Percent Consumption,214,,0113000,"Meat, Swine                   ",MK,Macedonia                     ,2019,10,(PERCENT)           ,23,57.0
Exports Percent Production,215,,0113000,"Meat, Swine                   ",MK,Macedonia                     ,2019,10,(PERCENT)           ,23,7.0
Population,211,,0113000,"Meat, Swine                   ",MK,Macedonia                     ,2019,10,(PEOPLE)            ,41,2110113.0
Per Capita Consumption,212,,0113000,"Meat, Swine                   ",MK,Macedonia                     ,2019,10,(KG)                ,14,14.2
Slaughter (Reference),116,,0113000,"Meat, Swine                   ",MX,Mexico                        ,2019,10,(1000 HEAD)         ,5,18300.0
Beginning Stocks,20,,0113000,"Meat, Swine                   ",MX,Mexico                        ,2019,10,(1000 MT CWE)       ,7,0.0
Production,28,,0113000,"Meat, Swine                   ",MX,Mexico                        ,2019,10,(1000 MT CWE)       ,7,1390.0
Total Imports,57,,0113000,"Meat, Swine                   ",MX,Mexico                        ,2019,10,(1000 MT CWE)       ,7,1225.0
Total Supply,86,,0113000,"Meat, Swine                   ",MX,Mexico                        ,2019,10,(1000 MT CWE)       ,7,2615.0
Total Exports,88,,0113000,"Meat, Swine                   ",MX,Mexico                        ,2019,10,(1000 MT CWE)       ,7,210.0
Human Dom. Consumption,139,,0113000,"Meat, Swine                   ",MX,Mexico                        ,2019,10,(1000 MT CWE)       ,7,2405.0
"Other Use, Losses",152,,0113000,"Meat, Swine                   ",MX,Mexico                        ,2019,10,(1000 MT CWE)       ,7,0.0
Total Dom. Consumption,125,,0113000,"Meat, Swine                   ",MX,Mexico                        ,2019,10,(1000 MT CWE)       ,7,2405.0
Ending Stocks,176,,0113000,"Meat, Swine                   ",MX,Mexico                        ,2019,10,(1000 MT CWE)       ,7,0.0
Total Distribution,178,,0113000,"Meat, Swine                   ",MX,Mexico                        ,2019,10,(1000 MT CWE)       ,7,2615.0
Balance,198,,0113000,"Meat, Swine                   ",MX,Mexico                        ,2019,10,(1000 MT CWE)       ,7,0.0
Inventory Balance,199,,0113000,"Meat, Swine                   ",MX,Mexico                        ,2019,10,(1000 MT CWE)       ,7,0.0
Weights,210,,0113000,"Meat, Swine                   ",MX,Mexico                        ,2019,10,(1000 MT CWE)       ,7,76.0
Production Change,204,,0113000,"Meat, Swine                   ",MX,Mexico                        ,2019,10,(PERCENT)           ,23,5.0
Import Change,201,,0113000,"Meat, Swine                   ",MX,Mexico                        ,2019,10,(PERCENT)           ,23,3.0
Export Change,202,,0113000,"Meat, Swine                   ",MX,Mexico                        ,2019,10,(PERCENT)           ,23,18.0
Consumption Change,203,,0113000,"Meat, Swine                   ",MX,Mexico                        ,2019,10,(PERCENT)           ,23,3.0
Imports Percent Consumption,214,,0113000,"Meat, Swine                   ",MX,Mexico                        ,2019,10,(PERCENT)           ,23,51.0
Exports Percent Production,215,,0113000,"Meat, Swine                   ",MX,Mexico                        ,2019,10,(PERCENT)           ,23,15.0
Population,211,,0113000,"Meat, Swine                   ",MX,Mexico                        ,2019,10,(PEOPLE)            ,41,127318112.0
Per Capita Consumption,212,,0113000,"Meat, Swine                   ",MX,Mexico                        ,2019,10,(KG)                ,14,18.9
Slaughter (Reference),116,,0113000,"Meat, Swine                   ",NO,Norway                        ,2019,10,(1000 HEAD)         ,5,0.0
Beginning Stocks,20,,0113000,"Meat, Swine                   ",NO,Norway                        ,2019,10,(1000 MT CWE)       ,7,0.0
Production,28,,0113000,"Meat, Swine                   ",NO,Norway                        ,2019,10,(1000 MT CWE)       ,7,138.0
Total Imports,57,,0113000,"Meat, Swine                   ",NO,Norway                        ,2019,10,(1000 MT CWE)       ,7,4.0
Total Supply,86,,0113000,"Meat, Swine                   ",NO,Norway                        ,2019,10,(1000 MT CWE)       ,7,142.0
Total Exports,88,,0113000,"Meat, Swine                   ",NO,Norway                        ,2019,10,(1000 MT CWE)       ,7,6.0
Human Dom. Consumption,139,,0113000,"Meat, Swine                   ",NO,Norway                        ,2019,10,(1000 MT CWE)       ,7,136.0
"Other Use, Losses",152,,0113000,"Meat, Swine                   ",NO,Norway                        ,2019,10,(1000 MT CWE)       ,7,0.0
Total Dom. Consumption,125,,0113000,"Meat, Swine                   ",NO,Norway                        ,2019,10,(1000 MT CWE)       ,7,136.0
Ending Stocks,176,,0113000,"Meat, Swine                   ",NO,Norway                        ,2019,10,(1000 MT CWE)       ,7,0.0
Total Distribution,178,,0113000,"Meat, Swine                   ",NO,Norway                        ,2019,10,(1000 MT CWE)       ,7,142.0
Balance,198,,0113000,"Meat, Swine                   ",NO,Norway                        ,2019,10,(1000 MT CWE)       ,7,0.0
Inventory Balance,199,,0113000,"Meat, Swine                   ",NO,Norway                        ,2019,10,(1000 MT CWE)       ,7,0.0
Weights,210,,0113000,"Meat, Swine                   ",NO,Norway                        ,2019,10,(1000 MT CWE)       ,7,0.0
Production Change,204,,0113000,"Meat, Swine                   ",NO,Norway                        ,2019,10,(PERCENT)           ,23,0.0
Import Change,201,,0113000,"Meat, Swine                   ",NO,Norway                        ,2019,10,(PERCENT)           ,23,0.0
Export Change,202,,0113000,"Meat, Swine                   ",NO,Norway                        ,2019,10,(PERCENT)           ,23,20.0
Consumption Change,203,,0113000,"Meat, Swine                   ",NO,Norway                        ,2019,10,(PERCENT)           ,23,-1.0
Imports Percent Consumption,214,,0113000,"Meat, Swine                   ",NO,Norway                        ,2019,10,(PERCENT)           ,23,3.0
Exports Percent Production,215,,0113000,"Meat, Swine                   ",NO,Norway                        ,2019,10,(PERCENT)           ,23,4.0
Population,211,,0113000,"Meat, Swine                   ",NO,Norway                        ,2019,10,(PEOPLE)            ,41,5421399.0
Per Capita Consumption,212,,0113000,"Meat, Swine                   ",NO,Norway                        ,2019,10,(KG)                ,14,25.1
Slaughter (Reference),116,,0113000,"Meat, Swine                   ",NZ,New Zealand                   ,2019,10,(1000 HEAD)         ,5,589.0
Beginning Stocks,20,,0113000,"Meat, Swine                   ",NZ,New Zealand                   ,2019,10,(1000 MT CWE)       ,7,0.0
Production,28,,0113000,"Meat, Swine                   ",NZ,New Zealand                   ,2019,10,(1000 MT CWE)       ,7,41.0
Total Imports,57,,0113000,"Meat, Swine                   ",NZ,New Zealand                   ,2019,10,(1000 MT CWE)       ,7,68.0
Total Supply,86,,0113000,"Meat, Swine                   ",NZ,New Zealand                   ,2019,10,(1000 MT CWE)       ,7,109.0
Total Exports,88,,0113000,"Meat, Swine                   ",NZ,New Zealand                   ,2019,10,(1000 MT CWE)       ,7,1.0
Human Dom. Consumption,139,,0113000,"Meat, Swine                   ",NZ,New Zealand                   ,2019,10,(1000 MT CWE)       ,7,108.0
"Other Use, Losses",152,,0113000,"Meat, Swine                   ",NZ,New Zealand                   ,2019,10,(1000 MT CWE)       ,7,0.0
Total Dom. Consumption,125,,0113000,"Meat, Swine                   ",NZ,New Zealand                   ,2019,10,(1000 MT CWE)       ,7,108.0
Ending Stocks,176,,0113000,"Meat, Swine                   ",NZ,New Zealand                   ,2019,10,(1000 MT CWE)       ,7,0.0
Total Distribution,178,,0113000,"Meat, Swine                   ",NZ,New Zealand                   ,2019,10,(1000 MT CWE)       ,7,109.0
Balance,198,,0113000,"Meat, Swine                   ",NZ,New Zealand                   ,2019,10,(1000 MT CWE)       ,7,0.0
Inventory Balance,199,,0113000,"Meat, Swine                   ",NZ,New Zealand                   ,2019,10,(1000 MT CWE)       ,7,0.0
Weights,210,,0113000,"Meat, Swine                   ",NZ,New Zealand                   ,2019,10,(1000 MT CWE)       ,7,69.6
Production Change,204,,0113000,"Meat, Swine                   ",NZ,New Zealand                   ,2019,10,(PERCENT)           ,23,-7.0
Import Change,201,,0113000,"Meat, Swine                   ",NZ,New Zealand                   ,2019,10,(PERCENT)           ,23,3.0
Export Change,202,,0113000,"Meat, Swine                   ",NZ,New Zealand                   ,2019,10,(PERCENT)           ,23,0.0
